Airport_Name,Aircraft_Make_Model,Effect_Amount_of_damage,Flight_Date,Aircraft_Airline_Operator,Origin_State,Phase_of_flight,Wildlife_Size,Wildlife_Species,Time_of_day,Cost_Other,Cost_Repair,Cost_Total__,Speed_IAS_in_knots
CHICAGO O'HARE INTL ARPT,B-727,None,1994-02-28,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,150
NEWARK LIBERTY INTL ARPT,MD-80,None,1998-08-30,AMERICAN AIRLINES,New Jersey,Landing Roll,Small,Unknown bird - small,Night,0,0,0,75
SEATTLE-TACOMA INTL,DHC8 DASH 8,None,2002-04-04,HORIZON AIR,Washington,Climb,Small,Unknown bird - small,Night,0,0,0,200
MINNEAPOLIS-ST PAUL INTL,C-130E,None,1995-09-13,MILITARY,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,120
MINETA SAN JOSE INTL,MERLIN III,None,1992-05-03,AMERICAN EAGLE AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,50
DALLAS/FORT WORTH INTL ARPT,MD-80,Minor,2001-10-26,AMERICAN AIRLINES,Texas,Landing Roll,Small,Rock pigeon,Day,0,0,0,120
PORTLAND INTL (OR),B-767-300,None,2002-06-29,DELTA AIR LINES,Oregon,Take-off run,Medium,Red-tailed hawk,Dawn,0,0,0,
PHILADELPHIA INTL,B-737-400,None,2001-09-10,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,141
SACRAMENTO INTL,B-737,None,2002-01-02,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2001-08-13,AMERICAN AIRLINES,Texas,Take-off run,Small,Rock pigeon,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,DC-10,None,1993-05-27,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-737-200,None,1999-01-13,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Killdeer,Day,0,0,0,140
WILL ROGERS WORLD ARPT,B-727,Substantial,1997-04-30,FEDEX EXPRESS,Oklahoma,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
NASHVILLE INTL,MD-82,None,1995-07-21,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
JOHN F KENNEDY INTL,L-1011-500,None,1997-08-20,DELTA AIR LINES,New York,Approach,Small,European starling,Day,0,0,0,150
RONALD REAGAN WASHINGTON NATL,B-757-200,None,1994-02-14,DELTA AIR LINES,DC,Climb,Small,Unknown bird - small,Day,0,0,0,140
SACRAMENTO INTL,B-737-300,None,1999-12-03,AMERICA WEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,150
SAN FRANCISCO INTL ARPT,B-767-200,None,1993-04-23,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,150
GREATER PITTSBURGH,DC-9,Minor,1998-12-24,US AIRWAYS*,Pennsylvania,Climb,Large,Canada goose,Day,0,0,0,250
GEORGE BUSH INTERCONTINENTAL,DC-10-10,None,1999-07-09,FEDEX EXPRESS,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,250
SAN FRANCISCO INTL ARPT,MD-80,None,1995-09-05,AMERICAN AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,210
SAN FRANCISCO INTL ARPT,B-757-200,None,1994-11-23,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,130
RONALD REAGAN WASHINGTON NATL,A-319,None,2002-04-23,US AIRWAYS*,DC,Climb,Small,Unknown bird - small,Day,0,0,0,170
DALLAS/FORT WORTH INTL ARPT,DC-9,None,1992-12-18,NORTHWEST AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1994-11-21,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,
CHARLESTON AFB/INTL ARPT,C-141B,None,1993-08-09,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,130
GREATER PITTSBURGH,DC-9,None,1994-07-30,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1993-07-30,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130
SEATTLE-TACOMA INTL,MD-80,None,2002-07-03,ALASKA AIRLINES,Washington,Approach,Small,Savannah sparrow,Day,0,0,0,
PHILADELPHIA INTL,B-757-200,None,1992-10-24,DELTA AIR LINES,Pennsylvania,Climb,Small,Rock pigeon,Day,0,0,0,
LOS ANGELES INTL,B-757-200,None,2000-02-29,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
CHARLESTON AFB/INTL ARPT,C-141B,None,1993-08-09,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,100
PORTLAND INTL (OR),B-737-300,None,2001-04-15,DELTA AIR LINES,Oregon,Descent,Small,Unknown bird - small,Night,0,0,0,220
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,Minor,1998-09-19,COMAIR AIRLINES,Kentucky,Climb,Medium,Red-tailed hawk,Day,0,0,0,160
CHARLESTON AFB/INTL ARPT,C-9,None,1994-08-29,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,90
AUSTIN-BERGSTROM INTL,MD-80,None,1999-09-13,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,200
SACRAMENTO INTL,MOONEY-20B/C,None,1995-05-26,BUSINESS,California,Approach,Large,Canada goose,Dawn,0,0,0,90
KANSAS CITY INTL,B-737-400,None,1995-08-04,US AIRWAYS*,Missouri,Landing Roll,Small,Mourning dove,Day,0,0,0,130
DENVER INTL AIRPORT,BE-1900,None,2002-04-19,GREAT LAKES AIRLINES,Colorado,Climb,Small,Rock pigeon,Day,0,0,0,120
SAN ANTONIO INTL,MD-82,None,1993-07-08,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,
DENVER INTL AIRPORT,HAWKER 1000,None,1998-09-02,EXECUTIVE JET AVIATION,Colorado,Landing Roll,Small,Unknown bird - small,Day,0,0,0,132
METRO OAKLAND INTL,GULFAERO IV,None,2001-07-02,BUSINESS,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,150
PHILADELPHIA INTL,B-757-200,None,1996-09-01,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Day,0,0,0,180
LIHUE ARPT,B-717-200,None,2002-01-13,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Unknown bird - small,Dawn,0,0,0,120
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1994-04-26,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1994-05-04,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150
JOHN F KENNEDY INTL,B-737,None,1992-10-17,BUSINESS,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
SEATTLE-TACOMA INTL,B-737,None,2001-08-20,ALASKA AIRLINES,Washington,Landing Roll,Small,European starling,Day,0,0,0,
SACRAMENTO INTL,BA-31 JETSTR,Minor,1999-03-05,TRANS STATES AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,B-737-300,None,1996-10-28,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-82,None,2000-07-28,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
INDIANAPOLIS INTL,A-320,None,2001-05-11,UNITED AIRLINES,Indiana,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
BALTIMORE WASH INTL,B-737-300,Substantial,2001-11-19,SOUTHWEST AIRLINES,Maryland,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150
MEMPHIS INTL,DC-10,None,2001-09-28,FEDEX EXPRESS,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,160
JOHN F KENNEDY INTL,DC-10-30,Substantial,1990-11-06,FEDEX EXPRESS,New York,Take-off run,Medium,Herring gull,Day,0,0,0,
LAGUARDIA NY,A-319,None,2002-01-27,US AIRWAYS*,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
ORLANDO INTL,B-737-300,None,1998-11-15,SOUTHWEST AIRLINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,235
PHOENIX SKY HARBOR,DC-10-10,None,2001-04-25,FEDEX EXPRESS,Arizona,Climb,Medium,Unknown bird - medium,Night,0,0,0,
SAN ANTONIO INTL,B-727-200,None,2001-07-19,FEDEX EXPRESS,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,200
BARKSDALE AIR FORCE BASE ARPT,T-37B,None,1994-02-08,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180
CHICAGO O'HARE INTL ARPT,DC-10,None,1993-04-17,UNITED AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,1996-10-17,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,200
DALLAS/FORT WORTH INTL ARPT,B-737-300,None,2001-08-08,FRONTIER AIRLINES,Texas,Approach,Small,Unknown bird - small,Dusk,0,0,0,230
INDIANAPOLIS INTL,CL-RJ100/200,None,1999-10-04,COMAIR AIRLINES,Indiana,Approach,Small,Unknown bird - small,Dusk,0,0,0,
ORLANDO INTL,B-737,None,1997-02-05,DELTA AIR LINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,2000-10-04,AMERICAN EAGLE AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,150
SAN FRANCISCO INTL ARPT,B-737-500,None,1997-11-10,UNITED AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,110
LIHUE ARPT,B-737-200,None,1996-10-04,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Pacific golden-plover,Day,0,0,0,
NEWARK LIBERTY INTL ARPT,B-747-1/200,None,1994-02-12,UNITED AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Day,0,0,0,150
SAN ANTONIO INTL,B-737-300,Minor,1999-05-02,SOUTHWEST AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,130
ATLANTA INTL,FOKKER F100,None,1997-10-14,AMERICAN AIRLINES,Georgia,Climb,Small,Unknown bird - small,Night,0,0,0,200
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,2001-07-26,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,160
SACRAMENTO INTL,B-737-700,None,2001-01-15,SOUTHWEST AIRLINES,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,120
LIHUE ARPT,B-737-200,None,1996-10-13,ALOHA AIRLINES,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,110
LIHUE ARPT,B-737-200,None,1999-06-04,ALOHA AIRLINES,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
MEMPHIS INTL,A-300,None,1999-07-07,FEDEX EXPRESS,Tennessee,Climb,Small,Unknown bird - small,Night,0,0,0,
FORT LAUDERDALE/HOLLYWOOD INTL,B-767,None,1994-10-29,DELTA AIR LINES,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,
SACRAMENTO INTL,B-737-200,Minor,1998-12-27,SOUTHWEST AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,135
HONOLULU INTL ARPT,DC-9-50,None,1997-08-21,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,100
TETERBORO AIRPORT,C-650,None,1996-06-26,BUSINESS,New Jersey,Take-off run,Medium,Mallard,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,None,1999-05-31,DELTA AIR LINES,Kentucky,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,100
DENVER INTL AIRPORT,B-757-200,None,2002-07-12,AMERICAN AIRLINES,Colorado,Take-off run,Small,Unknown bird - small,Day,0,0,0,
HOUSTON-HOBBY,B-737-200,None,2002-04-24,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,180
RONALD REAGAN WASHINGTON NATL,DC-9-30,None,1990-10-25,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1993-08-11,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,140
INDIANAPOLIS INTL,BE-300 KING,None,2000-05-24,BUSINESS,Indiana,Approach,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-767-300,None,1998-12-27,DELTA AIR LINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,250
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,2002-03-14,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,200
SAN FRANCISCO INTL ARPT,B-747-1/200,Substantial,1997-07-20,NORTHWEST AIRLINES,California,Take-off run,Small,Rock pigeon,Day,0,0,0,130
ORLANDO INTL,DHC8 DASH 8,None,1997-06-03,PIEDMONT AIRLINES,Florida,Taxi,Small,Mourning dove,Day,0,0,0,
DETROIT METRO WAYNE COUNTY ARPT,B-727-200,None,2000-07-12,AMERICAN AIRLINES,Michigan,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,110
MINETA SAN JOSE INTL,MD-82,None,1999-03-09,ALASKA AIRLINES,California,Landing Roll,Medium,Red-tailed hawk,Day,0,0,0,100
RONALD REAGAN WASHINGTON NATL,B-757-200,None,1998-09-12,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,
PHILADELPHIA INTL,B-727,None,2001-04-05,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,250
PHILADELPHIA INTL,A-320,None,2001-07-10,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,150
LOGAN INTL,B-727-200,None,1999-10-18,DELTA AIR LINES,Massachusetts,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
PHILADELPHIA INTL,B-727-200,None,2001-09-25,AMERICAN AIRLINES,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,150
SACRAMENTO INTL,B-737-300,None,2002-06-23,SOUTHWEST AIRLINES,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,1997-12-30,NORTHWEST AIRLINES,Ohio,Approach,Large,Unknown bird - large,Night,0,0,0,
HOUSTON-HOBBY,MD-82,None,2000-04-14,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,MD-83,None,1997-05-15,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250
PHOENIX SKY HARBOR,B-737-300,None,2001-06-22,AMERICA WEST AIRLINES,Arizona,Take-off run,Small,Unknown bird - small,Dusk,260,0,260,140
LAGUARDIA NY,MD-82,Substantial,1998-04-04,AMERICAN AIRLINES,New York,Take-off run,Large,Canada goose,Dusk,0,0,0,140
WASHINGTON DULLES INTL ARPT,ATR-42,None,1998-08-26,EXPRESSJET (CONTINENTAL EXPRS),DC,Approach,Small,Unknown bird - small,Day,0,0,0,105
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1993-09-29,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,
DENVER INTL AIRPORT,B-737-500,None,1998-06-28,UNITED AIRLINES,Colorado,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LAGUARDIA NY,MD-80,None,1990-09-10,AMERICAN AIRLINES,New York,Approach,Small,Unknown bird - small,Night,0,0,0,160
SACRAMENTO INTL,B-737,None,1998-12-03,AMERICA WEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,B-767-300,None,1992-07-16,UNITED AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,0
LIHUE ARPT,PA-31 NAVAJO,None,1999-02-27,PRIVATELY OWNED,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NASHVILLE INTL,B-727-100,None,1991-06-12,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140
PORTLAND INTL (OR),EMB-120,None,1999-10-25,SKYWEST AIRLINES,Oregon,Take-off run,Small,European starling,Dawn,0,0,0,
MEMPHIS INTL,B-727,None,1999-04-24,FEDEX EXPRESS,Tennessee,Descent,Medium,Unknown bird - medium,Night,0,0,0,250
HONOLULU INTL ARPT,MD-11,None,2000-11-14,FEDEX EXPRESS,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PORTLAND INTL (OR),MD-80,None,2000-05-08,AMERICAN AIRLINES,Oregon,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,MD-80,None,1996-05-22,AMERICAN AIRLINES,Illinois,Take-off run,Small,Unknown bird - small,Day,0,0,0,130
ATLANTIC CITY INTL,KC-10A,None,1998-05-13,MILITARY,New Jersey,Climb,Medium,Unknown bird or bat,Day,0,0,0,
SAN FRANCISCO INTL ARPT,B-767,None,1992-01-19,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,110
SALT LAKE CITY INTL,EMB-120,None,2000-08-01,SKYWEST AIRLINES,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,
JOHN F KENNEDY INTL,B-747,Minor,1993-04-14,UNITED AIRLINES,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,2000-07-23,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,200
MEMPHIS INTL,B-727,None,1997-12-10,DELTA AIR LINES,Tennessee,Approach,Small,European starling,Day,0,0,0,130
CHARLESTON AFB/INTL ARPT,C-141,None,1996-10-10,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1999-09-29,AMERICAN AIRLINES,Texas,Landing Roll,Small,American kestrel,Day,0,0,0,
LOUISVILLE INTL ARPT,B-727,Minor,1997-01-03,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,140
RONALD REAGAN WASHINGTON NATL,B-737-300,None,1999-12-12,US AIRWAYS*,DC,Landing Roll,Small,American kestrel,Day,0,0,0,130
LIHUE ARPT,B-717-200,None,2002-04-27,HAWAIIAN AIR,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,180
DALLAS/FORT WORTH INTL ARPT,MD-80,Minor,1996-03-16,AMERICAN AIRLINES,Texas,Approach,Large,Unknown bird - large,Day,0,0,0,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,None,1997-07-02,COMAIR AIRLINES,Kentucky,Landing Roll,Small,Killdeer,Day,0,0,0,120
GREATER PITTSBURGH,SAAB-340,None,1992-07-31,AMERICAN EAGLE AIRLINES,Pennsylvania,Climb,Small,Unknown bird - small,Dusk,0,0,0,170
PORT COLUMBUS INTL,DC-9,None,1998-06-01,UNKNOWN,Ohio,Take-off run,Large,Turkey vulture,Day,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-80,None,2001-08-13,DELTA AIR LINES,Kentucky,Take-off run,Small,Eastern meadowlark,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727,None,1992-11-21,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
GEORGE BUSH INTERCONTINENTAL,B-737,None,1996-12-31,UNITED AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1994-07-27,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,290
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,1998-08-12,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,170
HOUSTON-HOBBY,B-737-200,None,2000-02-08,SOUTHWEST AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,130
SALT LAKE CITY INTL,B-737-300,None,1992-08-14,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
NEWARK LIBERTY INTL ARPT,MD-82,None,2000-03-06,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,A-310,None,1992-09-27,NORTHWEST AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
LOS ANGELES INTL,A-320,None,2002-03-25,AMERICA WEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,145
LAMBERT-ST LOUIS INTL,DC-9-30,None,1994-09-27,TRANS WORLD AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,190
METRO OAKLAND INTL,MD-82,None,1990-05-10,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
CHARLESTON AFB/INTL ARPT,C-130H,B,2002-06-29,MILITARY,South Carolina,Take-off run,Small,Rock pigeon,Day,0,636405,636405,105
PORTLAND INTL (OR),B-737-800,None,2001-07-12,DELTA AIR LINES,Oregon,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
PORT COLUMBUS INTL,MD-80,None,2001-05-04,US AIRWAYS*,Ohio,Climb,Medium,Unknown bird - medium,Day,0,0,0,
INDIANAPOLIS INTL,B-737-400,None,1999-08-02,US AIRWAYS*,Indiana,Take-off run,Small,European starling,Day,0,0,0,
NASHVILLE INTL,FOKKER F28 MK 1000,None,1997-04-28,AMERICAN AIRLINES,Tennessee,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120
BALTIMORE WASH INTL,B-757-200,None,1995-08-16,US AIRWAYS*,Maryland,Approach,Medium,Unknown bird - medium,Day,0,0,0,135
AUSTIN-BERGSTROM INTL,MD-88,Minor,1995-09-05,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,
ORLANDO INTL,CL-RJ100/200,None,1998-11-07,COMAIR AIRLINES,Florida,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
DENVER INTL AIRPORT,B-737,None,1997-10-27,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,C-560,None,1999-10-14,EXECUTIVE JET AVIATION,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,210
DENVER INTL AIRPORT,B-757-200,Minor,1999-01-08,UNITED AIRLINES,Colorado,Landing Roll,Medium,Red-tailed hawk,Day,0,0,0,
SAN FRANCISCO INTL ARPT,B-737-300,None,1994-11-14,AMERICA WEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,130
LAMBERT-ST LOUIS INTL,L-1011,None,1990-05-26,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,2001-04-03,US AIRWAYS*,North Carolina,Approach,Medium,Ring-billed gull,Day,0,0,0,138
MINNEAPOLIS-ST PAUL INTL,C-130E,None,2001-08-30,MILITARY,Minnesota,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,120
MEMPHIS INTL,B-727-100,None,1998-05-11,FEDEX EXPRESS,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,170
EPPLEY AIRFIELD,B-737-300,Medium,1999-03-18,SOUTHWEST AIRLINES,Nebraska,Approach,Medium,Red-tailed hawk,Day,0,411618,411618,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,1999-07-06,COMAIR AIRLINES,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,170
PHOENIX SKY HARBOR,B-737-300,None,1998-03-05,AMERICA WEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Night,0,0,0,137
DALLAS/FORT WORTH INTL ARPT,MD-80,Minor,1991-02-23,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,210
GREATER PITTSBURGH,B-757-200,None,2001-08-28,US AIRWAYS*,Pennsylvania,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
SALT LAKE CITY INTL,B-737-300,None,1992-08-08,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
RONALD REAGAN WASHINGTON NATL,FOKKER F100,None,1995-06-09,US AIRWAYS*,DC,Climb,Small,Unknown bird - small,Day,0,0,0,170
ATLANTA INTL,B-767-300,None,1999-10-23,DELTA AIR LINES,Georgia,Approach,Medium,Unknown bird - medium,Night,0,0,0,140
JOHN F KENNEDY INTL,DC-8,None,1998-11-19,ASTAR AIR CARGO,New York,Approach,Medium,Unknown bird - medium,Day,0,0,0,
CHICAGO O'HARE INTL ARPT,DC-10-10,None,1993-04-15,AMERICAN AIRLINES,Illinois,Approach,Large,Unknown bird - large,Night,0,0,0,155
MINETA SAN JOSE INTL,B-737-800,None,1999-04-16,AMERICAN AIRLINES,California,Descent,Medium,Unknown bird - medium,Night,0,0,0,210
METRO OAKLAND INTL,B-737-700,None,1999-10-12,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,135
NASHVILLE INTL,MD-82,None,1996-01-13,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Dawn,0,0,0,180
ATLANTA INTL,EMB-120,None,2000-04-30,ATLANTIC SOUTHEAST,Georgia,Climb,Large,Unknown bird - large,Night,0,0,0,190
SAN FRANCISCO INTL ARPT,DC-10-10,None,1995-01-24,CONTINENTAL AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,142
GREATER PITTSBURGH,MD-80,None,2001-12-03,DELTA AIR LINES,Pennsylvania,Approach,Large,Unknown bird - large,Night,0,0,0,130
DALLAS/FORT WORTH INTL ARPT,B-737-200,Substantial,1996-11-17,US AIRWAYS*,Texas,Climb,Small,Unknown bird - small,Day,0,541823,541823,160
CHARLOTTE/DOUGLAS INTL ARPT,B-727,None,1998-07-16,UNKNOWN,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,120
SACRAMENTO INTL,MD-80,None,1991-08-19,AMERICAN AIRLINES,California,Take-off run,Large,Coyote,Dawn,0,0,0,100
CLEVELAND-HOPKINS INTL ARPT,EMB-145,None,1999-08-24,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,160
WASHINGTON DULLES INTL ARPT,B-757-200,None,2000-05-01,DELTA AIR LINES,DC,Landing Roll,Medium,Unknown bird - medium,Dusk,0,0,0,
INDIANAPOLIS INTL,A-300,None,1998-09-10,FEDEX EXPRESS,Indiana,Approach,Small,Unknown bird - small,Dawn,0,0,0,
